[13:04:05] [LOGGING]	 STARTING LOGGING
[13:04:08] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[13:04:08] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[13:04:08] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[13:04:08] [TTS]	 [0]Name: ScanSoft Sebastien_Full_22kHz Culture: fr-FR
[13:04:08] [ENGINE]	 Restart timeout: 3600000
[13:04:18] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=initialisation%20termin%C3%A9%3B%20Que%20puije%20faire%20pour%20vous%3F
[13:04:18] [TTS]	 Try speaking ... initialisation terminé; Que puije faire pour vous?
[13:04:18] [TTS]	 [0] Say: initialisation terminé; Que puije faire pour vous?
[13:04:19] [PLAYER]	 [0]Start Player
[13:04:20] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:04:20] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais => 0,269674
[13:04:21] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir => 0,1642304
[13:04:21] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir la => 0,2033917
[13:04:21] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir les => 0,2720987
[13:04:22] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir les film => 0,3626308
[13:04:23] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir la => 0,3365998
[13:04:23] [PLAYER]	 [0]End Player
[13:04:23] [PLAYER]	 [0]speaking false
[13:04:23] [TTS]	 End speaking
[13:04:56] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH tu => 0,3070967
[13:05:07] [RTPCLIENT]	 Stop RTPClient
[13:05:07] [RTPCLIENT]	 Stop RTPClient
[13:05:08] [RTPCLIENT]	 Stop RTPClient ... Done
[13:05:08] [RTPCLIENT]	 Stop RTPClient ... Done
[13:05:08] [ENGINE - File]	 Stop listening...done
[13:05:08] [ENGINE - Default]	 Stop listening...done
[13:06:28] [LOGGING]	 STARTING LOGGING
[13:06:28] [INIT]	 ==========================================
[13:06:28] [INIT]	 S.A.R.A.H. => MICRO
[13:06:28] [INIT]	 ==========================================
[13:06:28] [INIT]	 Server: http://127.0.0.1:8080
[13:06:28] [INIT]	 Confidence: 0,65
[13:06:28] [INIT]	 ==========================================
[13:06:28] [INIT]	 Starting Server: http://192.168.1.151:8888/
[13:06:28] [INIT]	 Starting Server: http://127.0.0.1:8888/
[13:06:28] [WATCHER]	 Stop watching
[13:06:28] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[13:06:28] [GRAMMAR]	 Add to context list: time.xml
[13:06:28] [WATCHER]	 Watching directory: macros
[13:06:28] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[13:06:28] [GRAMMAR]	 Add to context list: jarvis.xml
[13:06:29] [WATCHER]	 Watching directory: plugins
[13:06:29] [WATCHER]	 Start watching
[13:06:29] [GRAMMAR]	 Context: default
[13:06:29] [GRAMMAR]	 Context: time.xml, jarvis.xml
[13:06:29] [GRAMMAR]	 File: Load Grammar to Engine
[13:06:29] [GRAMMAR]	 File: Load: time.xml Enabled: True
[13:06:29] [GRAMMAR]	 File: Load Grammar to Engine
[13:06:29] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[13:06:29] [ENGINE - File]	 Init recognizer
[13:06:29] [ENGINE - File]	 AudioLevel: 0
[13:06:29] [ENGINE - File]	 MaxAlternates: 1
[13:06:29] [ENGINE - File]	 BabbleTimeout: 00:00:00
[13:06:29] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[13:06:29] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[13:06:29] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:06:29] [GRAMMAR]	 Default: Load Grammar to Engine
[13:06:29] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[13:06:29] [GRAMMAR]	 Default: Load Grammar to Engine
[13:06:29] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[13:06:29] [ENGINE - Default]	 Init recognizer
[13:06:29] [ENGINE - Default]	 AudioLevel: 0
[13:06:29] [ENGINE - Default]	 MaxAlternates: 1
[13:06:29] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[13:06:29] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[13:06:29] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[13:06:29] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:06:30] [ENGINE - Default]	 Start listening
[13:06:30] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[13:06:30] [ENGINE]	 [Default] level: 0 state: Stopped
[13:06:30] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[13:06:30] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[13:06:30] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[13:06:30] [TTS]	 [0]Name: ScanSoft Sebastien_Full_22kHz Culture: fr-FR
[13:06:30] [ENGINE]	 Restart timeout: 3600000
[13:06:34] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=initialisation%20termin%C3%A9.%20Bonjours%20monsieur%2C%20que%20puije%20faire%20pour%20vous%3F
[13:06:35] [TTS]	 Try speaking ... initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[13:06:35] [TTS]	 [0] Say: initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[13:06:35] [PLAYER]	 [0]Start Player
[13:06:36] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:06:37] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais => 0,2636513
[13:06:37] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH affiche les fenetres => 0,2189851
[13:06:37] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fait voir => 0,03491776
[13:06:38] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir les => 0,1390097
[13:06:39] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,1942714
[13:06:40] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais => 0,4115975
[13:06:40] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH affiche => 0,3827724
[13:06:41] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:06:41] [PLAYER]	 [0]End Player
[13:06:41] [PLAYER]	 [0]speaking false
[13:06:41] [TTS]	 End speaking
[13:07:27] [LOGGING]	 STARTING LOGGING
[13:07:27] [INIT]	 ==========================================
[13:07:27] [INIT]	 S.A.R.A.H. => MICRO
[13:07:27] [INIT]	 ==========================================
[13:07:27] [INIT]	 Server: http://127.0.0.1:8080
[13:07:27] [INIT]	 Confidence: 0,65
[13:07:27] [INIT]	 ==========================================
[13:07:27] [INIT]	 Starting Server: http://192.168.1.151:8888/
[13:07:27] [INIT]	 Starting Server: http://127.0.0.1:8888/
[13:07:27] [WATCHER]	 Stop watching
[13:07:27] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[13:07:27] [GRAMMAR]	 Add to context list: time.xml
[13:07:27] [WATCHER]	 Watching directory: macros
[13:07:27] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[13:07:27] [GRAMMAR]	 Add to context list: jarvis.xml
[13:07:27] [WATCHER]	 Watching directory: plugins
[13:07:27] [WATCHER]	 Start watching
[13:07:28] [GRAMMAR]	 Context: default
[13:07:28] [GRAMMAR]	 Context: time.xml, jarvis.xml
[13:07:28] [GRAMMAR]	 File: Load Grammar to Engine
[13:07:28] [GRAMMAR]	 File: Load: time.xml Enabled: True
[13:07:28] [GRAMMAR]	 File: Load Grammar to Engine
[13:07:28] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[13:07:28] [ENGINE - File]	 Init recognizer
[13:07:28] [ENGINE - File]	 AudioLevel: 0
[13:07:28] [ENGINE - File]	 MaxAlternates: 1
[13:07:28] [ENGINE - File]	 BabbleTimeout: 00:00:00
[13:07:28] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[13:07:28] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[13:07:28] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:07:28] [GRAMMAR]	 Default: Load Grammar to Engine
[13:07:28] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[13:07:28] [GRAMMAR]	 Default: Load Grammar to Engine
[13:07:28] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[13:07:28] [ENGINE - Default]	 Init recognizer
[13:07:28] [ENGINE - Default]	 AudioLevel: 0
[13:07:28] [ENGINE - Default]	 MaxAlternates: 1
[13:07:28] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[13:07:28] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[13:07:28] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[13:07:28] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:07:28] [ENGINE - Default]	 Start listening
[13:07:28] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[13:07:29] [ENGINE]	 [Default] level: 0 state: Stopped
[13:07:29] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[13:07:29] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[13:07:29] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[13:07:29] [TTS]	 [0]Name: ScanSoft Sebastien_Full_22kHz Culture: fr-FR
[13:07:29] [ENGINE]	 Restart timeout: 3600000
[13:07:31] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il est => 0,4414619
[13:07:33] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=initialisation%20termin%C3%A9.%20Bonjours%20monsieur%2C%20que%20puije%20faire%20pour%20vous%3F
[13:07:33] [TTS]	 Try speaking ... initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[13:07:33] [TTS]	 [0] Say: initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[13:07:34] [PLAYER]	 [0]Start Player
[13:07:34] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:07:35] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il => 0,09487594
[13:07:35] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il est => 0,3184548
[13:07:35] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il est quelle => 0,269586
[13:07:35] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il est quelle heure => 0,2193396
[13:07:36] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH affiche les fenetres => 0,2636983
[13:07:36] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir les => 0,2154998
[13:07:37] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:07:38] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH tu => 0,4647281
[13:07:38] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais => 0,5451419
[13:07:38] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il est => 0,5219362
[13:07:38] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH affiche => 0,5939441
[13:07:39] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH affiche la => 0,5777305
[13:07:40] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il est quelle heure => 0,5292411
[13:07:40] [PLAYER]	 [0]End Player
[13:07:40] [PLAYER]	 [0]speaking false
[13:07:40] [TTS]	 End speaking
[13:07:40] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,6564764
[13:07:41] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH quelle => 0,8876178
[13:07:41] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH quelle heure est => 0,7604482
[13:07:41] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH quelle heure est il => 0,7815636
[13:07:42] [ENGINE - Default]	 RECOGNIZED Speech: 0,7820874 (0,65) / 0,877431 (SARAH) Device:  Text: SARAH quelle heure est il
[13:07:42] [ENGINE - Default]	 RECOGNIZED Speech: 0,7820874 (0,65) / 0,877431 (SARAH) Device:  Text: SARAH quelle heure est il
[13:07:42] [CONTEXT]	 Reset timeout
[13:07:42] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7820874&client=SARAH1&profile=Unknow_2395&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:07:42] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7820874&client=SARAH1&profile=Unknow_2395&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:07:42] [TTS]	 Try speaking ... il est 13 heure 7 
[13:07:42] [TTS]	 [0] Say: il est 13 heure 7 
[13:07:42] [PLAYER]	 [0]Start Player
[13:07:44] [PLAYER]	 [0]End Player
[13:07:44] [PLAYER]	 [0]speaking false
[13:07:44] [TTS]	 End speaking
[13:07:44] [ENGINE - Default]	 SpeechRecognized: 2654,566ms Text: SARAH quelle heure est il
[13:07:44] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,2679206
[13:07:44] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il => 0,4094053
[13:07:44] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il est => 0,2683252
[13:07:44] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir => 0,4587339
[13:07:44] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fait voir la => 0,4315486
[13:07:44] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH fais voir les => 0,4636118
[13:07:48] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,8634908
[13:07:48] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre => 0,833409
[13:07:48] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre le => 0,9353559
[13:07:49] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre les => 0,5838141
[13:07:51] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,7174569
[13:07:52] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre => 0,7601029
[13:07:52] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre le => 0,7632748
[13:07:53] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre le Dévédé => 0,5946425
[13:07:55] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,7679439
[13:07:55] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il => 0,7822627
[13:07:55] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH lance => 0,433796
[13:07:56] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH relance le => 0,4593562
[13:07:57] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH lance sublimtext => 0,3703561
[13:07:58] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,7968676
[13:07:58] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH lance => 0,9702307
[13:07:59] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH lance sublimtext => 0,4995829
[13:08:03] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:08:04] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,84993
[13:08:05] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il => 0,6719295
[13:08:05] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il est => 0,7718107
[13:08:06] [ENGINE - Default]	 RECOGNIZED Speech: 0,7318986 (0,65) / 0,9166666 (SARAH) Device:  Text: SARAH quelle heure est il
[13:08:06] [ENGINE - Default]	 RECOGNIZED Speech: 0,7318986 (0,65) / 0,9166666 (SARAH) Device:  Text: SARAH quelle heure est il
[13:08:06] [CONTEXT]	 Reset timeout
[13:08:06] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7318986&client=SARAH1&profile=Unknow_6295&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:08:06] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.7318986&client=SARAH1&profile=Unknow_6295&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:08:06] [TTS]	 Try speaking ... il est 13 heure 8 
[13:08:06] [TTS]	 [0] Say: il est 13 heure 8 
[13:08:06] [PLAYER]	 [0]Start Player
[13:08:08] [PLAYER]	 [0]End Player
[13:08:08] [PLAYER]	 [0]speaking false
[13:08:08] [TTS]	 End speaking
[13:08:08] [ENGINE - Default]	 SpeechRecognized: 2504,226ms Text: SARAH quelle heure est il
[13:08:08] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH va => 0,4001663
[13:08:08] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:08:09] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH réveilles => 0,5376943
[13:08:11] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,8656739
[13:08:11] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH lance => 0,886894
[13:08:11] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH balance les => 0,734652
[13:08:12] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH balance les nouvo => 0,7318496
[13:08:16] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,7956539
[13:08:16] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH redémar => 0,5907449
[13:08:17] [ENGINE - Default]	 RECOGNIZED Speech: 0,7894481 (0,65) / 0,9620601 (SARAH) Device:  Text: SARAH redémar
[13:08:17] [ENGINE - Default]	 RECOGNIZED Speech: 0,7894481 (0,65) / 0,9620601 (SARAH) Device:  Text: SARAH redémar
[13:08:17] [CONTEXT]	 Reset timeout
[13:08:17] [TTS]	 Try speaking ... je relance mon système
[13:08:17] [TTS]	 [0] Say: je relance mon système
[13:08:17] [PLAYER]	 [0]Start Player
[13:08:19] [PLAYER]	 [0]End Player
[13:08:19] [PLAYER]	 [0]speaking false
[13:08:19] [TTS]	 End speaking
[13:08:19] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/jarvis?val=runreboot&confidence=0.7894481&client=SARAH1&profile=Unknow_7384&directory=D%3a%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:08:19] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/jarvis?val=runreboot&confidence=0.7894481&client=SARAH1&profile=Unknow_7384&directory=D:%5cDev%5cDev-O.V.E.R%5cO.V.E.R%5cmacros
[13:08:19] [TTS]	 Try speaking ... 
[13:08:20] [TTS]	 [0] Say: 
[13:08:20] [PLAYER]	 [0]speaking false
[13:08:20] [TTS]	 End speaking
[13:08:20] [ENGINE - Default]	 SpeechRecognized: 2836,6497ms Text: SARAH redémar
[13:08:20] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:08:20] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre => 0,1426579
[13:08:20] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre le => 0,2366799
[13:08:20] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[13:08:21] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH on => 0,6187831
[13:08:21] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH ouvre => 0,6412561
[13:10:11] [LOGGING]	 STARTING LOGGING
[13:10:11] [INIT]	 ==========================================
[13:10:11] [INIT]	 S.A.R.A.H. => MICRO
[13:10:11] [INIT]	 ==========================================
[13:10:11] [INIT]	 Server: http://127.0.0.1:8080
[13:10:11] [INIT]	 Confidence: 0,65
[13:10:11] [INIT]	 ==========================================
[13:10:11] [INIT]	 Starting Server: http://192.168.1.151:8888/
[13:10:11] [INIT]	 Starting Server: http://127.0.0.1:8888/
[13:10:11] [WATCHER]	 Stop watching
[13:10:11] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[13:10:11] [GRAMMAR]	 Add to context list: time.xml
[13:10:11] [WATCHER]	 Watching directory: macros
[13:10:11] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[13:10:11] [GRAMMAR]	 Add to context list: jarvis.xml
[13:10:12] [WATCHER]	 Watching directory: plugins
[13:10:12] [WATCHER]	 Start watching
[13:10:12] [GRAMMAR]	 Context: default
[13:10:12] [GRAMMAR]	 Context: time.xml, jarvis.xml
[13:10:12] [GRAMMAR]	 File: Load Grammar to Engine
[13:10:12] [GRAMMAR]	 File: Load: time.xml Enabled: True
[13:10:12] [GRAMMAR]	 File: Load Grammar to Engine
[13:10:12] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[13:10:12] [ENGINE - File]	 Init recognizer
[13:10:12] [ENGINE - File]	 AudioLevel: 0
[13:10:12] [ENGINE - File]	 MaxAlternates: 1
[13:10:12] [ENGINE - File]	 BabbleTimeout: 00:00:00
[13:10:12] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[13:10:12] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[13:10:12] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:10:12] [GRAMMAR]	 Default: Load Grammar to Engine
[13:10:12] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[13:10:12] [GRAMMAR]	 Default: Load Grammar to Engine
[13:10:12] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[13:10:12] [ENGINE - Default]	 Init recognizer
[13:10:12] [ENGINE - Default]	 AudioLevel: 0
[13:10:12] [ENGINE - Default]	 MaxAlternates: 1
[13:10:12] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[13:10:12] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[13:10:13] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[13:10:13] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:10:13] [ENGINE - Default]	 Start listening
[13:10:13] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[13:10:13] [ENGINE]	 [Default] level: 0 state: Stopped
[13:10:13] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[13:10:13] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[13:10:13] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[13:10:13] [TTS]	 [0]Name: ScanSoft Sebastien_Full_22kHz Culture: fr-FR
[13:10:13] [ENGINE]	 Restart timeout: 3600000
[13:21:09] [LOGGING]	 STARTING LOGGING
[13:21:09] [INIT]	 ==========================================
[13:21:09] [INIT]	 S.A.R.A.H. => MICRO
[13:21:09] [INIT]	 ==========================================
[13:21:09] [INIT]	 Server: http://127.0.0.1:8080
[13:21:09] [INIT]	 Confidence: 0,65
[13:21:09] [INIT]	 ==========================================
[13:21:09] [INIT]	 Starting Server: http://192.168.1.151:8888/
[13:21:09] [INIT]	 Starting Server: http://127.0.0.1:8888/
[13:21:09] [WATCHER]	 Stop watching
[13:21:09] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[13:21:09] [GRAMMAR]	 Add to context list: time.xml
[13:21:09] [WATCHER]	 Watching directory: macros
[13:21:09] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[13:21:09] [GRAMMAR]	 Add to context list: jarvis.xml
[13:21:09] [WATCHER]	 Watching directory: plugins
[13:21:09] [WATCHER]	 Start watching
[13:21:09] [GRAMMAR]	 Context: default
[13:21:09] [GRAMMAR]	 Context: time.xml, jarvis.xml
[13:21:09] [GRAMMAR]	 File: Load Grammar to Engine
[13:21:10] [GRAMMAR]	 File: Load: time.xml Enabled: True
[13:21:10] [GRAMMAR]	 File: Load Grammar to Engine
[13:21:10] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[13:21:10] [ENGINE - File]	 Init recognizer
